childr,65
sci,123
expedit,597
funct,409
consum,304
known,831
skil,519
aly,823
nutrit,216
discharg,417
vet,66
middl,305
depend,520
gold,865
leas,906
olymp,189
april,894
young,190
list,824
seny,191
sens,192
oversight,67
spec,241
deficit,349
road,587
airport,594
celebr,759
parcel,590
disclos,654
execut,576
util,591
electron,866
pract,592
disast,193
govern,447
octob,306
affect,448
school,694
level,761
valley,817
tre,194
correct,551
item,522
adjust,124
tak,666
highway,135
team,68
il,500
tru,195
dis,523
cap,314
repres,405
judg,867
scen,69
compens,70
direct,696
crop,655
sign,71
second,0
cost,307
design,825
specy,244
ter,826
chem,245
port,763
med,451
nee,449
abl,593
benefit,910
furth,145
uniform,308
access,656
energy,818
xvii,698
new,450
ground,339
deduc,657
involv,268
elimin,452
enh,705
elect,525
leg,155
mem,453
men,454
decid,361
met,455
otherw,658
address,72
cult,1
iraq,363
waiv,524
valu,734
study,246
technolog,196
credit,456
amount,364
permit,457
corp,738
chang,638
offsh,827
medicin,365
reg,673
depart,125
entrepr,459
campaign,460
win,642
transit,595
wil,411
county,461
vis,126
purchas,224
instal,73
firearm,310
market,311
smal,829
perc,526
fee,644
acryl,596
commun,197
mexico,494
visit,528
suppl,768
perm,529
illeg,139
settl,908
chapt,653
asset,701
recommend,463
traum,844
injury,300
until,2
pres,771
capit,772
minim,855
afford,74
peopl,75
company,128
annivers,412
award,247
vehic,521
trail,660
export,863
train,661
adult,465
examin,531
adjourn,702
hold,3
tariff,249
goal,835
behalf,76
100th,344
account,662
dispos,778
kil,504
hous,598
cas,312
car,313
work,250
det,599
dev,762
religy,773
necess,716
can,315
cal,316
meet,413
obtain,901
disapprov,129
control,414
claim,533
pipelin,859
process,198
oc,814
tax,870
high,199
abort,317
council,534
crimin,200
mortg,600
condemn,130
surfac,663
end,703
recovery,251
eng,704
hon,4
travel,5
hom,6
europ,348
delay,201
ens,706
ent,707
forest,664
opt,506
occup,318
simpl,131
polit,467
recogn,252
mat,535
lak,253
farm,415
assocy,601
lab,254
stor,482
numb,838
endang,7
such,77
mak,538
law,256
grow,540
man,541
febru,774
hist,795
emit,798
conduc,667
grant,391
spous,708
offens,319
caus,334
receiv,503
maintain,468
environ,710
deposit,542
allow,203
democr,543
americ,873
first,555
negoty,466
decl,469
medic,346
trib,748
help,369
pref,767
approv,320
held,370
own,912
through,604
divid,836
equip,544
entitl,545
colorado,176
fir,9
group,546
cle,711
israel,830
comprehend,712
fib,10
pend,605
policy,547
fin,11
fil,12
flex,875
anim,470
return,839
food,371
dam,668
pollut,607
auth,685
docu,205
dat,669
aft,665
facilit,206
they,257
acceiv,471
schools,13
resourc,837
spend,640
day,636
nor,322
possess,548
trad,876
meas,472
achiev,132
exceiv,207
conflict,392
each,713
found,133
oblig,473
mean,108
el,323
whil,14
en,324
intellig,670
replac,325
fish,609
receipt,78
continu,549
crit,558
ex,326
year,327
navy,475
our,692
ev,328
eq,329
out,877
concur,779
network,259
facil,677
rep,240
rev,671
research,134
may,536
sustain,372
rel,242
internet,79
defens,309
red,243
integr,683
viol,136
diseas,552
giv,741
domest,80
contain,426
charit,674
standard,260
reason,373
term,777
releas,122
org,553
teach,366
card,330
prescrib,780
welf,433
janu,59
renew,261
enforc,209
footwear,828
outsid,210
presid,675
retain,255
refug,8
profess,331
mad,537
origin,781
crim,556
suspend,782
exchang,611
independ,262
wast,15
strategic,676
restrict,717
acquisit,557
guar,137
carry,263
stabl,612
miss,375
city,82
sourc,760
maj,539
capac,879
district,783
v,832
licens,211
equ,718
system,212
least,613
their,880
attack,418
expand,376
xix,16
termin,213
individ,559
john,264
includ,648
streets,360
memb,560
hum,784
park,614
qual,332
part,615
refund,776
conserv,721
than,333
prev,769
b,616
target,265
coast,483
bef,419
sery,785
project,17
serg,786
street,697
attorney,51
posit,787
toward,377
bet,420
are,848
driv,722
comput,140
san,83
sam,84
sal,491
strengthen,842
modern,476
pri,788
saf,85
compon,897
exerc,843
rat,724
immigr,280
reserv,625
clin,882
exclud,709
seek,477
sav,86
issu,202
lif,378
acid,868
engin,335
min,678
florid,883
lin,379
reauth,720
zon,87
stapl,394
lit,380
forc,516
liv,381
discret,214
territ,266
build,617
which,884
shelf,881
transmit,267
subject,488
rol,758
sect,603
begin,336
posthum,215
unless,679
distribut,618
deploy,737
glob,725
who,885
chart,619
paid,561
surveil,517
marin,478
assault,562
plan,141
plac,142
coin,726
class,886
charg,620
deny,887
urg,421
don,479
exc,143
urb,422
camp,18
request,302
hospit,19
expendit,20
carolin,729
determin,888
affair,423
commerc,621
prim,188
jurisdict,144
pric,21
maint,338
recipy,792
avy,900
elig,874
feas,889
texa,680
priv,22
impact,146
consolid,269
busy,23
acquir,481
northern,410
ment,24
transact,89
should,217
black,530
screening,270
treasury,563
fuel,424
analys,793
hir,845
workforc,382
